rule,pop_all69,pop_highphi66,L_over_A_inv_um,family,group,phi_target,phi_actual,N,d_min_um,d_max_um,size_ratio,d_cv,box_x_um,box_y_um,box_z_um,n_seed,in_ensemble69,generator,kind,engine_version,engine_variant,baseline_fp,engine_dependence
none (isotropic random packing),True,True,0.005099719569909785,phi_050,reference series,0.5,0.5000000000000003,900,19.999999999999996,19.999999999999996,1.0,0.0,196.08921359134465,196.08921359134465,196.08921359134465,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
none (isotropic random packing),True,True,0.005264339106421568,phi_055,reference series,0.55,0.5500000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,189.95736782612957,189.95736782612957,189.95736782612957,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
none (isotropic random packing),True,True,0.005419260701392893,phi_060,reference series,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
none (isotropic random packing),True,True,0.005537107456102769,phi_064,reference series,0.64,0.6400000000000007,900,19.999999999999996,19.999999999999996,1.0,0.0,180.59970985353405,180.59970985353405,180.59970985353405,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"bimodal, size ratio 3, volume fraction of the large particles 0.7",True,True,0.005594195062522008,bimodal_3to1,high loading,0.66,0.6600000000000006,900,13.746108161185072,41.23832448355522,3.0,0.46774689538794956,178.75672707579383,178.75672707579383,178.75672707579383,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"bimodal, size ratio 5, volume fraction of the large particles 0.75",True,True,0.005704999890574174,bimodal_5to1,high loading,0.7,0.7000000000000008,900,12.713236701423229,63.56618350711614,5.0,0.5522922865475244,175.28484122360888,175.28484122360888,175.28484122360888,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"continuous distribution, sigma_ln = 0.5 (lognormal width)",True,True,0.005537107456102768,poly_wide,high loading,0.64,0.6400000000000005,900,2.993937823354041,67.47660310958177,22.537743630891192,0.5380311901526313,180.59970985353408,180.59970985353408,180.59970985353408,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"spherical void, radius 0.26 L",True,True,0.005419260701392893,voided,poor dispersion,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"agglomeration, strength 0.32",True,True,0.005419260701392893,clustered,poor dispersion,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
stratification p = 0.55 (z' = L (z/L)^(1+p)),True,True,0.005419260701392893,stratified,process segregation,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
