u,v,P_share,g,branch,x_mid,y_mid,z_mid,family,d_um,seed,filler,matrix,treat,engine_version,engine_variant,baseline_fp
732,1454,0.024171760517591113,0.004061436095628166,contact,128.5659290359814,245.55589885089813,150.80096240643167,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
3,1234,0.020252350129833063,0.002449877317344762,contact,246.2649144439587,39.65881592842815,98.71533911277461,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
220,741,0.017404676197929292,0.0025370232696579364,contact,228.40144068834192,171.21776771390614,87.93762476272117,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
677,1563,0.015572625374326791,0.003501468762045237,contact,187.26569376090782,48.471871268052936,143.42110674626028,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
355,652,0.015497283768771474,0.004470734545486827,contact,39.65881592842815,49.424169672164936,127.36886820051149,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
27,512,0.0154610738500396,0.004158231794819605,contact,112.65764036411527,46.797250999969904,73.58471505008832,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
801,1655,0.0142704743389611,0.0022455949540208645,contact,222.3738478552034,236.111280627529,68.04758798006148,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1359,1563,0.014210374547298685,0.004218077780343601,contact,187.20333424987427,39.65881592842815,212.34868775454302,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
677,1046,0.013761615318550779,0.004100794135300681,contact,184.68069520764044,55.81118410424875,74.03428417791069,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
202,1896,0.012854582216540759,0.004138559008659086,contact,239.9369152602905,239.44964687787885,193.86393760179902,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
218,871,0.012124711588613776,0.004255575657278007,contact,108.65037848166287,39.65881592842815,211.19264555356588,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
427,1895,0.011994973883356663,0.0010100868291429978,contact,142.33618538982674,262.12844081532995,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
355,1600,0.011718241790670126,0.005469564134066721,contact,43.287704637262664,43.039483445444915,67.71739875095994,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
202,801,0.011648935070880512,0.002990675480339673,contact,216.04584867153517,239.44964687787885,128.65324233634766,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1396,1665,0.011643690000662255,0.00410168756557568,contact,188.86483638231246,115.54271800453309,179.740973556249,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1294,1999,0.011200332040511898,0.001533982385270254,contact,110.69419949555703,180.5787727250774,130.87713092629954,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1225,1600,0.01064853236453407,0.0011102972949311829,contact,40.515888640947736,27.175957074073658,30.2222708337462,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
