family,group,seed,phi,z_contact,N,E,d_cv,ov_med,frac_type2,G_eff,err_I1,lift,eta_g,eta_far,eta_rnd,rho_g,jaccard_g,share_gap,share_contact,share_bond,top20_share,H,frac_sat,engine_version,engine_variant,baseline_fp
phi_050,reference series,0,0.5000000000000003,3.6844444444444444,900,2835,0.0,0.0014051916716358193,0.0,0.00038854957754369486,8.881784197001252e-16,7.152489325601388,0.6642534338883783,0.09597292119330882,0.13981146346078877,0.3285488723238226,0.08108108108108109,0.1861693190482717,0.8138306809517283,0.0,0.05680080362709226,7.220381308021533,0.0,v4,holm,014d59a0d7b143ba
phi_050,reference series,1,0.5000000000000003,3.6955555555555555,900,2838,0.0,0.0016328958296224273,0.0,0.0003992132593000194,8.881784197001252e-16,7.759524282724318,0.6024677001571297,0.1045154830026209,0.12887387983647197,0.30320665640283084,0.1111111111111111,0.1968001665146091,0.8031998334853909,0.0,0.05709185132733915,7.229410585395693,0.0,v4,holm,014d59a0d7b143ba
phi_050,reference series,2,0.5000000000000003,3.6444444444444444,900,2841,0.0,0.0012930969174306916,0.0,0.0003695055298917752,7.771561172376096e-16,7.844769031685261,0.7428697505519837,0.053600764009562214,0.1274734789464125,0.31548305221410533,0.02564102564102564,0.1983433915527627,0.8016566084472374,0.0,0.06521567945983865,7.210491258943268,0.0,v4,holm,014d59a0d7b143ba
phi_055,reference series,0,0.5500000000000005,4.544444444444444,900,3135,0.0,0.00624647746654663,0.0,0.0006881349902863642,1.9984014443252818e-15,8.902533760226401,0.8029843243628825,0.06215965361384189,0.11232757178272908,0.2734894759804974,0.14285714285714285,0.10612700850718572,0.8938729914928143,0.0,0.05823237495724997,7.219033458256045,0.0,v4,holm,014d59a0d7b143ba
phi_055,reference series,1,0.5500000000000005,4.66,900,3165,0.0,0.006097827550090607,0.0,0.0006953054504853464,5.329070518200751e-15,7.05441314158817,0.3520963307953107,0.05477114139683084,0.14175523603865206,0.35380506000351253,0.08108108108108109,0.10681357796917464,0.8931864220308253,0.0,0.04685383718388274,7.304646733793456,0.0,v4,holm,014d59a0d7b143ba
phi_055,reference series,2,0.5500000000000005,4.582222222222223,900,3125,0.0,0.006577195841482819,0.0,0.0006982315793852787,7.771561172376096e-16,7.507220100222713,2.4714993608139406e-07,0.06683361025643778,0.1332050994442448,0.27879838329225043,0.0,0.09640960323225849,0.9035903967677414,0.0,0.05145382767499112,7.23364340720401,0.0,v4,holm,014d59a0d7b143ba
phi_060,reference series,0,0.6000000000000005,5.651111111111111,900,3514,0.0,0.01685368103677174,0.0,0.0011658229035501956,3.774758283725532e-15,5.21082900072431,0.313752370737496,0.05021550162967689,0.19190804377978998,0.3335726364757617,0.05263157894736842,0.05683811084625311,0.943161889153747,0.0,0.038891603955077444,7.415036450730446,0.0,v4,holm,014d59a0d7b143ba
phi_060,reference series,1,0.6000000000000005,5.471111111111111,900,3454,0.0,0.016316292255648523,0.0,0.0011643029198126615,2.220446049250313e-15,6.988068758926257,0.25227077572875134,0.06657393815304644,0.14310105330927708,0.3505844132843342,0.02564102564102564,0.059557365436583895,0.9404426345634159,0.0,0.04334743848691902,7.362912854537647,0.0,v4,holm,014d59a0d7b143ba
phi_060,reference series,2,0.6000000000000005,5.626666666666667,900,3479,0.0,0.016005254328372853,0.0,0.001217441716771071,2.220446049250313e-15,6.015503428126158,0.16558985813164792,0.05761620458426855,0.16623712577810001,0.40484107476450387,0.05263157894736842,0.05175908905128453,0.9482409109487154,0.0,0.03952314252298811,7.4177313201215265,0.0,v4,holm,014d59a0d7b143ba
phi_064,reference series,0,0.6400000000000007,6.357777777777778,900,3775,0.0,0.025830547248256862,0.0,0.0015695589109995522,1.9984014443252818e-15,5.949354981112252,0.1588327213200471,0.03880495779284901,0.16808544845193396,0.33858867151900307,0.02564102564102564,0.04339323683159841,0.9566067631684017,0.0,0.033788832380528974,7.502506710766466,0.0,v4,holm,014d59a0d7b143ba
phi_064,reference series,1,0.6400000000000007,6.235555555555556,900,3708,0.0,0.02369129492712476,0.0,0.0014571966776134788,0.0,6.849393739057051,0.4774229785252957,0.029201674520877005,0.14599832307752086,0.2766246417321649,0.05263157894736842,0.04728099417043366,0.9527190058295664,0.0,0.03837049688369787,7.449961426758575,0.0,v4,holm,014d59a0d7b143ba
phi_064,reference series,2,0.6400000000000007,6.2844444444444445,900,3708,0.0,0.026042224514745093,0.0,0.0015269399214475458,3.9968028886505635e-15,6.750776517575291,0.41555385194745664,0.06101909427358208,0.14813110719878708,0.301743224687211,0.05263157894736842,0.044429678412834184,0.9555703215871658,0.0,0.034555799120836006,7.478653131435639,0.0,v4,holm,014d59a0d7b143ba
bimodal_3to1,high loading,0,0.6600000000000006,4.355555555555555,900,3026,0.46774689538794956,0.011322386607663715,0.0,0.0013418038968014093,4.6629367034256575e-15,15.959156539360908,0.54176855491811,0.044240219490714716,0.06265995308296196,0.47612973120135954,0.17647058823529413,0.07932976230227944,0.9206702376977206,0.0,0.14718369631717684,6.623621984337277,0.0,v4,holm,014d59a0d7b143ba
bimodal_3to1,high loading,1,0.6600000000000006,4.455555555555556,900,3044,0.46774689538794956,0.01204262221641974,0.0,0.0013222355206220114,6.661338147750939e-16,20.298375811560362,0.16516393676854596,0.10989514417848815,0.04926502540318908,0.47721913653724035,0.1111111111111111,0.0931632192696543,0.9068367807303457,0.0,0.12984072466617017,6.74403334827548,0.0,v4,holm,014d59a0d7b143ba
bimodal_3to1,high loading,2,0.6600000000000006,4.357777777777778,900,3002,0.4677468953879495,0.011669556465817178,0.0,0.00133273542113219,2.220446049250313e-16,27.937444721337336,0.27073498330086665,0.07209069108810687,0.03579425426965573,0.4570142464896084,0.21212121212121213,0.09481477875130881,0.9051852212486913,0.0,0.15121099918989017,6.660541367731483,0.0,v4,holm,014d59a0d7b143ba
bimodal_5to1,high loading,0,0.7000000000000008,3.6355555555555554,900,2666,0.5522922865475245,0.011883880126055457,0.0,0.0015596145357289954,3.3306690738754696e-16,58.43039548169434,0.19242727258107753,0.10820385226172201,0.017114380139927172,0.2613473122369693,0.2903225806451613,0.12782131999494065,0.8721786800050594,0.0,0.46260285175649724,5.387068009917543,0.0,v4,holm,014d59a0d7b143ba
bimodal_5to1,high loading,1,0.7000000000000008,3.611111111111111,900,2676,0.5522922865475244,0.00918666869546545,0.0,0.0014679531930718607,1.4432899320127035e-15,42.35580181009143,0.4574088209035591,0.029702849427083036,0.023609516459720193,0.3590607439098347,0.25,0.10299312561227673,0.8970068743877233,0.0,0.3131346859383223,5.791103351434247,0.0,v4,holm,014d59a0d7b143ba
bimodal_5to1,high loading,2,0.7000000000000008,3.631111111111111,900,2637,0.5522922865475244,0.011324897538385104,0.0,0.00127510382403139,2.220446049250313e-15,56.61967274931947,0.24735425188769755,0.04086101731864158,0.0176617057542428,0.2929523207584876,0.25,0.1376008072903799,0.86239919270962,0.0,0.32948458562050376,5.714823500456473,0.0,v4,holm,014d59a0d7b143ba
poly_wide,high loading,0,0.6400000000000005,3.7311111111111113,900,2645,0.5726143618359486,0.011370278242355081,0.0,0.0012270162521430849,1.3322676295501878e-15,52.11673111863063,0.7275538457190605,0.02063026677037434,0.019187696130130483,0.49194784224945526,0.25,0.0804261027061988,0.9195738972938012,0.0,0.2758379332155013,6.078049684439513,0.0,v4,holm,014d59a0d7b143ba
poly_wide,high loading,1,0.6400000000000005,4.193333333333333,900,2817,0.5380311901526313,0.012620410000669047,0.0,0.001320044025364576,3.3306690738754696e-15,41.36482074074939,0.5647100375049244,0.020572206209468293,0.024175131962191204,0.5324763040779171,0.2903225806451613,0.07415272761943778,0.9258472723805623,0.0,0.15302624893515973,6.658745760695519,0.0,v4,holm,014d59a0d7b143ba
