N_target,N,n_edge,rep,phi,t_struct_s,t_a_build_s,t_b_barcode_s,t_c_pshare_s,t_d_dense_s,d_dense_status,t_d_sparse_topk_s,k_top,t_abc_s,n_bars,G_eff,b_over_ElogE,engine_version,engine_variant,baseline_fp
200,200,704,0,0.6000000000000005,0.04654383659362793,0.017744779586791992,0.0031511783599853516,0.011677026748657227,0.01593327522277832,ok,0.008752822875976562,20,0.03257298469543457,201,0.002893167835602889,6.826684359057664e-07,v4,holm,014d59a0d7b143ba
200,200,698,1,0.6000000000000005,0.04525017738342285,0.01710057258605957,0.0025103092193603516,0.009116411209106445,0.013684272766113281,ok,0.008649349212646484,20,0.028727293014526367,201,0.0028990328459151575,5.492228482159946e-07,v4,holm,014d59a0d7b143ba
200,200,713,2,0.6000000000000005,0.04463076591491699,0.017099618911743164,0.002370119094848633,0.010097026824951172,0.014655113220214844,ok,0.008701324462890625,20,0.02956676483154297,201,0.0031651896344397257,5.059988742527153e-07,v4,holm,014d59a0d7b143ba
400,400,1518,0,0.6000000000000004,0.08957958221435547,0.03676581382751465,0.004492521286010742,0.048969268798828125,0.050385236740112305,ok,0.018262386322021484,20,0.09022760391235352,401,0.0029554606797114517,4.040191135224178e-07,v4,holm,014d59a0d7b143ba
400,400,1480,1,0.6000000000000004,0.0869288444519043,0.0359344482421875,0.004236936569213867,0.017347097396850586,0.04980134963989258,ok,0.018354415893554688,20,0.05751848220825195,401,0.002996584408765542,3.9217458175416806e-07,v4,holm,014d59a0d7b143ba
400,400,1485,2,0.6000000000000004,0.08547687530517578,0.037009239196777344,0.00433039665222168,0.017894506454467773,0.046927690505981445,ok,0.017515182495117188,20,0.0592341423034668,401,0.0032638957417012947,3.9929126683887873e-07,v4,holm,014d59a0d7b143ba
900,900,3514,0,0.6000000000000005,0.20485806465148926,0.08948516845703125,0.009296655654907227,0.04055905342102051,0.31595683097839355,ok,0.04265594482421875,20,0.13934087753295898,901,0.0033756716493647224,3.2403718327837556e-07,v4,holm,014d59a0d7b143ba
900,900,3454,1,0.6000000000000005,0.20725393295288086,0.08875250816345215,0.009524345397949219,0.04080629348754883,0.30478429794311523,ok,0.04261636734008789,20,0.1390831470489502,901,0.003414339566399037,3.384540544644849e-07,v4,holm,014d59a0d7b143ba
900,900,3479,2,0.6000000000000005,0.2032947540283203,0.08980178833007812,0.01748180389404297,0.043744564056396484,0.31497812271118164,ok,0.045119285583496094,20,0.15102815628051758,901,0.0035681745669819227,6.162181261336484e-07,v4,holm,014d59a0d7b143ba
2000,2000,7957,0,0.6000000000000005,0.49567484855651855,0.20390844345092773,0.02179574966430664,0.16845941543579102,,N/A (above max_n),0.11523604393005371,20,0.3941636085510254,2001,0.003950616306248346,3.049711228139484e-07,v4,holm,014d59a0d7b143ba
2000,2000,7985,1,0.6000000000000005,0.4832029342651367,0.19617724418640137,0.0215756893157959,0.15723443031311035,,N/A (above max_n),0.1190788745880127,20,0.3749873638153076,2001,0.0036748949663732763,3.007157728088752e-07,v4,holm,014d59a0d7b143ba
2000,2000,7983,2,0.6000000000000005,0.46953296661376953,0.20276522636413574,0.023240327835083008,0.15517091751098633,,N/A (above max_n),0.12752819061279297,20,0.3811764717102051,2001,0.004033711683498184,3.240072119811479e-07,v4,holm,014d59a0d7b143ba
4000,4000,16199,0,0.6000000000000005,1.0001378059387207,0.4132263660430908,0.0516657829284668,0.3743019104003906,,N/A (above max_n),0.44115638732910156,20,0.8391940593719482,4001,0.004518036907790483,3.290560073542219e-07,v4,holm,014d59a0d7b143ba
4000,4000,16025,1,0.6000000000000005,1.048170566558838,0.42543697357177734,0.0817415714263916,0.5023531913757324,,N/A (above max_n),0.5059869289398193,20,1.0095317363739014,4001,0.0045866062257511634,5.268465187038125e-07,v4,holm,014d59a0d7b143ba
4000,4000,16091,2,0.6000000000000005,0.8281424045562744,0.31804776191711426,0.046881675720214844,0.3585093021392822,,N/A (above max_n),0.6401832103729248,20,0.7234387397766113,4001,0.004493269431046651,3.007979949438528e-07,v4,holm,014d59a0d7b143ba
8000,8000,32874,0,0.6000000000000005,2.3683650493621826,0.9503185749053955,0.43424558639526367,1.6470623016357422,,N/A (above max_n),2.425051689147949,20,3.0316264629364014,8001,0.0051585932433048575,1.2700805343351498e-06,v4,holm,014d59a0d7b143ba
8000,8000,32718,1,0.6000000000000005,2.381948471069336,0.9498879909515381,0.1692218780517578,1.5254817008972168,,N/A (above max_n),3.0364391803741455,20,2.6445915699005127,8001,0.0051640612463412314,4.975272039480968e-07,v4,holm,014d59a0d7b143ba
8000,8000,32823,2,0.6000000000000005,2.2989819049835205,0.8615338802337646,0.15329217910766602,1.427778720855713,,N/A (above max_n),2.2439053058624268,20,2.4426047801971436,8001,0.005022803849466666,4.491123103709864e-07,v4,holm,014d59a0d7b143ba
