family,label,filler,matrix,treat,seed,phi,z_contact,n_edges,frac_overlap,n_contact,n_gap,n_bond,G_eff,tau_G2_C,tau_G1_C,rho_G2_C,nbars_G1,maxpers_G1,tstar_G1,crit_G1,critrank_G1,nbars_G2,maxpers_G2,tstar_G2,crit_G2,critrank_G2,nbars_C,maxpers_C,tstar_C,crit_C,critrank_C,crit_same_G2_C,crit_same_G1_C,pair_jaccard_G2_C,pair_same_G2_C,nbars_abs,maxpers_abs,ncomp_end,pair_jac_abs_rel,diag_same_abs_rel,diag_maxdiff_abs_rel,eng_nbars_rel,eng_maxpers_rel,eng_medpers_rel,eng_tstar_rel,eng_nbars_leg,eng_maxpers_leg,eng_medpers_leg,eng_tstar_leg,engine_version,engine_variant,baseline_fp
phi_060,"monodisperse, single material",AlN,epoxy,untreated,0,0.6000000000000005,5.651111111111111,3514,0.7236767216846898,2543,971,0,0.0033756716493647224,1.0,0.6901803568535431,0.9999999999999999,901,1.0,0.0,"(58, 538)",1258,901,20.235295394776088,19.235295394776088,"(107, 242)",102,901,4.338903648237606,3.338903648237606,"(107, 242)",102,1,0,1.0,1,901,4.338903648237606,1,0.8313008130081301,1,0.0,901,3.1700733437914264,0.0,4.187376406693778,535,0.1023791143607326,0.0,4.187376406693778,v4,holm,014d59a0d7b143ba
phi_060,"monodisperse, single material",AlN,epoxy,untreated,1,0.6000000000000005,5.471111111111111,3454,0.7127967573827446,2462,992,0,0.003414339566399037,1.0,0.701412909439408,0.9999999999999999,901,1.0,0.0,"(92, 237)",614,901,20.221044214915924,19.221044214915924,"(23, 792)",699,901,4.334386868494768,3.3343868684947684,"(23, 792)",699,1,0,1.0,1,901,4.334386868494768,1,0.8220424671385238,1,0.0,901,3.2134715849983286,0.0,4.5161284319083785,587,0.10566871248872362,0.0,4.5161284319083785,v4,holm,014d59a0d7b143ba
phi_064,"monodisperse, single material (high loading)",AlN,epoxy,untreated,0,0.6400000000000007,6.357777777777778,3775,0.7578807947019868,2861,914,0,0.005065179199206232,1.0,0.6524303200418325,1.0,901,1.0,0.0,"(80, 307)",200,901,19.97091854039114,18.97091854039114,"(8, 793)",75,901,4.267821056524761,3.267821056524762,"(8, 793)",75,1,0,1.0,1,901,4.267821056524761,1,0.8275862068965517,1,0.0,901,3.186299918795891,0.0,3.994149178104676,482,0.1227287693670685,0.0,3.994149178104676,v4,holm,014d59a0d7b143ba
phi_064,"monodisperse, single material (high loading)",AlN,epoxy,untreated,1,0.6400000000000007,6.235555555555556,3708,0.7567421790722761,2806,902,0,0.004614353621213185,1.0,0.6537514303995553,1.0,901,1.0,0.0,"(63, 430)",1344,901,19.613635212314293,18.613635212314293,"(183, 569)",155,901,4.199851852661194,3.1998518526611943,"(183, 569)",155,1,0,1.0,1,901,4.199851852661194,1,0.8202020202020202,1,0.0,901,3.2267815328815908,0.0,3.902561074613353,533,0.10610492241841858,0.0,3.902561074613353,v4,holm,014d59a0d7b143ba
bimodal_3to1,bimodal 3:1 (CV 0.47),AlN,epoxy,untreated,0,0.6600000000000006,4.355555555555555,3026,0.6477197620621282,1960,1066,0,0.004308779850964532,0.2612784591579609,0.6930134004085715,0.13318845215366298,901,1.0,0.0,"(114, 486)",472,901,14.599762481291563,13.599762481291563,"(92, 598)",2081,901,4.079705431944628,3.079705431944628,"(18, 286)",13,0,0,0.3958171959721146,0,901,4.079705431944628,1,0.835030549898167,1,0.0,901,3.430758891254731,0.0,4.796030661667909,730,3.430758891254731,0.0,4.796030661667909,v4,holm,014d59a0d7b143ba
bimodal_3to1,bimodal 3:1 (CV 0.47),AlN,epoxy,untreated,1,0.6600000000000006,4.455555555555556,3044,0.6586727989487516,2005,1039,0,0.004050458684002999,0.2690921017289703,0.6811332027611114,0.15164879187219338,901,1.0,0.0,"(83, 252)",15,901,14.57613132504313,13.57613132504313,"(140, 335)",1159,901,4.057743759156524,3.0577437591565237,"(79, 247)",69,0,0,0.3630862329803328,0,901,4.057743759156524,1,0.8313008130081301,1,0.0,901,3.383938061657543,0.0,5.335787117920147,717,3.383938061657543,0.0,5.335787117920147,v4,holm,014d59a0d7b143ba
bimodal_5to1,bimodal 5:1 (CV 0.55),AlN,epoxy,untreated,0,0.7000000000000008,3.6355555555555554,2666,0.6136534133533383,1636,1030,0,0.005585715595731602,0.46671036440143854,0.6907533983068553,0.3969544352633798,897,1.641246370989652,0.0,"(56, 422)",710,897,25.857042344680842,12.504165977228464,"(137, 642)",1817,897,4.035078010127704,3.0350780101277044,"(117, 218)",17,0,0,0.5848056537102474,0,897,4.035078010127704,5,0.762278978388998,1,0.0,897,3.646492103661207,0.0,5.374492093824854,687,3.646492103661207,0.0,5.374492093824854,v4,holm,014d59a0d7b143ba
bimodal_5to1,bimodal 5:1 (CV 0.55),AlN,epoxy,untreated,1,0.7000000000000008,3.611111111111111,2676,0.6072496263079222,1625,1051,0,0.004850243573224114,0.4553338856072023,0.7036682825270592,0.3695652304328978,899,1.0,0.0,"(48, 179)",2,899,25.487888154647607,12.615433891139723,"(240, 837)",550,899,4.05244600920653,3.052446009206531,"(599, 885)",18,0,0,0.5634782608695652,0,899,4.05244600920653,3,0.7731755424063116,1,0.0,899,3.747357140189123,0.0,4.964744517725661,704,0.19763325482521513,0.0,4.964744517725661,v4,holm,014d59a0d7b143ba
poly_wide,wide continuous distribution (CV 0.51),AlN,epoxy,untreated,0,0.6400000000000005,3.7311111111111113,2645,0.6347826086956522,1679,966,0,0.004183716219852485,-0.21391773362808825,0.645256567797142,-0.2971016989445847,890,1.731886644325229,0.0,"(93, 193)",292,890,28.090773972440694,15.27169501436905,"(60, 707)",1976,890,4.096478830460649,3.0964788304606485,"(149, 598)",648,0,0,0.25,0,890,4.096478830460649,12,0.8541666666666666,1,0.0,890,3.7540887653137025,0.0,5.3984186418902,733,0.5861339649404165,0.0,5.3984186418902,v4,holm,014d59a0d7b143ba
poly_wide,wide continuous distribution (CV 0.51),AlN,epoxy,untreated,1,0.6400000000000005,4.193333333333333,2817,0.6698615548455804,1887,930,0,0.0042673477259390635,-0.2177374786200665,0.6358472076188962,-0.2991324796084271,897,1.0,0.0,"(70, 207)",1365,897,20.153458331973763,14.232653423212101,"(214, 409)",1354,897,4.027958310108802,3.0279583101088017,"(405, 676)",39,0,0,0.23553719008264462,0,897,4.027958310108802,5,0.84,1,0.0,897,3.3885938964775857,0.0,5.455165784236959,786,3.3885938964775857,0.0,5.455165784236959,v4,holm,014d59a0d7b143ba
